UID,growth_stage
F3LbWkZq,0
6P4wLVzI,0
Tn6HIrdS,0
EYM5R1TK,0
fkcevlA0,0
QumzsyqU,0
I5axlwYR,0
C95wnKFx,0
79kzEdvF,0
YSCVBnkr,0
Zmw5jCv8,0
a1dESxDL,0
yxR8khFG,0
qiAeBInp,0
nlsuxPb1,0
QipL41yR,0
ez51RTAd,0
OHs5wU4D,0
8mAFW0O5,0
h1q6dJaE,0
lzbf64tR,0
fbFrvuMy,0
YL9uPlKQ,0
3fmyxTPW,0
TRiWtzmH,0
ea5vKYbg,0
ev4J9Znk,0
JlzBWAiQ,0
02r3NCOn,0
5yzDhIG9,0
uFov7HMj,0
Mdbf7phC,0
XEqn72xH,0
yOpjAIEd,0
csKGjRnZ,0
sLmqi4MF,0
n4x93S0A,0
cjLbHRd2,0
5yBodArn,0
2RJg5kn1,0
yF85wofa,0
WEzAFuQd,0
u8X70MTq,0
0BhesCpG,0
d5gMpF8s,0
qOXf7gQG,0
SHIy1VBR,0
AiDCWG4w,0
aVItZUgv,0
TEpU9c0h,0
pBvjka2l,0
fA9P6aYp,0
ArLekHmw,0
dx9zDI1e,0
7K5V1qG4,0
boG3WrF7,0
R2GBX9wI,0
XrOI6yVi,0
eclVvtOL,0
GsXZT1Hu,0
SiyhPHu5,0
98yimZvV,0
dx2tF06s,0
EYvnWRTh,0
KGhCX2oB,0
tldHprfI,0
x5hbDg1Y,0
RYdI3Cya,0
WNJweB4n,0
OQoNfCxV,0
bjGUWPe1,0
UtNC8AL1,0
YWLtgXcQ,0
Xd2xPqn7,0
LVC04ANW,0
LJ8AaeO6,0
GZvLNXSI,0
naiN5fbQ,0
KMi2kNm4,0
sWr8Zvl2,0
5wsJPzrh,0
DZpvzFb2,0
RKNUVDeX,0
6N5XgjhW,0
OX9beHvY,0
buWisBrV,0
7of35Qmn,0
9N5UQmr2,0
Iap5Fkeq,0
pukYiMEN,0
Z2Sf803X,0
taWmpYMU,0
kHWwU7nd,0
kqSXD47h,0
pQeSBWNw,0
pOQhoCkw,0
pPZKThN5,0
uLfYIlD6,0
c2zkC7AD,0
gUMoeSmx,0
m0GrH6Qu,0
XpThrgWz,0
K7NB9DTQ,0
YujpNm58,0
0GRH81Ev,0
vyZBw8WL,0
uGBiYKVX,0
jmOu8DPN,0
0Zp6G1zs,0
VLvsAB8F,0
FcMpiv4n,0
erSItOf1,0
4QXUpDVk,0
f6tXCglR,0
sVtrXnpY,0
VKaq96EM,0
D6dw8UaW,0
uby8XZgs,0
OAx5qNTG,0
PFyoJOdT,0
1rhsHvSO,0
oaEKXJ4f,0
mOZfMR50,0
xHe0nRLq,0
B1KLFaCp,0
9xI2MwDG,0
nMOl7Js2,0
pblEtqOz,0
IMyaU8WK,0
MyJTuOUe,0
IWFw1sHo,0
65cdV1b4,0
qlXUI5Hh,0
S2UGg4IN,0
9pK6zYu4,0
K0fpXvQA,0
gNWqte1i,0
HFnQZu5t,0
KlVa4s2d,0
oGWwB125,0
dY9xXJIf,0
KIfDXFN7,0
M5La7dTH,0
yat5IxlF,0
7cHqVYEa,0
XTUm4pk9,0
pfsIehvA,0
kixnBarj,0
j4AbTcna,0
BtifD0PE,0
R0viFJGM,0
MeCwnSEy,0
prnh2i4F,0
ErwHC7f5,0
rNI1anAU,0
QD3LgpiB,0
9caYEKud,0
4caw69d8,0
jrqAldxh,0
vb159dek,0
RpzD1ZHg,0
iGfhc9Nk,0
RS9fIzCG,0
GPWkxtag,0
4B8JY9sm,0
b2O1WTqZ,0
rOt4IsbF,0
ZO4tqAE2,0
WDvz8Caq,0
ajgx0Fht,0
LvQq7FZE,0
e8OpGTLl,0
hZ8qSVrc,0
XABOH41b,0
iofzl16n,0
ZYdt4igv,0
BRUx6jSV,0
KVW6gpm0,0
x6SfnMrI,0
R93zSUNI,0
9KyDL5HJ,0
AdDZ3TaQ,0
rxGSm1Cw,0
xEMCuJg1,0
MN7V0SaA,0
gbluswdc,0
ZJAeF7bT,0
Dvpu59lP,0
oZ17Eqdc,0
CUNu4nQy,0
obgEa68r,0
OLpr4u5v,0
LetmgyG8,0
Rba6Ipqo,0
8gj6d5tP,0
owkGm6SJ,0
M7UipCyV,0
OP8fD7cx,0
exUJsrAp,0
pndgP9cz,0
N1MwKcgS,0
36HRe2yU,0
7JqzXnV5,0
eOBlz6Tx,0
mCQudEx8,0
hB3slnQ9,0
J9rKe3RY,0
YaHUr12R,0
RDQqK9yi,0
ZezgDxoy,0
rLdTfPZW,0
7Ikq32Hf,0
FNEceJ9a,0
1kHrP68J,0
icERW2QO,0
JRPqaNtd,0
sN59jCiY,0
PhfGVOi1,0
NXs6SuIC,0
0ESY7mwz,0
3zNAKol6,0
kyERJ2DY,0
iuZelR5S,0
FuMcY6pP,0
w74LHVxm,0
MRboJDF8,0
6MgFcdfH,0
YoPSEiU8,0
VAMTCleY,0
TOAlPEv1,0
kzAVvWMJ,0
ViwUTzIF,0
Wz7NcZK8,0
a7BQlZNJ,0
dobCW3qh,0
T9rKfZdD,0
f4hGKnd5,0
b4SQJ9BX,0
SC0Wix53,0
Acy8qgvn,0
KiXArfSd,0
rHZRGaId,0
WTKt7cEh,0
gLIZuaNz,0
vOWpCrwy,0
4wmTpFl0,0
roxOB1Xu,0
M6TS2wWk,0
BTKVM3E2,0
yR7K6zEY,0
